video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
40657.npz,64,0.0,0.38244047619047616,0.0,1.0,1.0,0.34375,0.34375,0.34375,0.65625,False,ASL
40659.npz,60,0.0,0.3412698412698413,0.0,1.0,1.0,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.7166666666666667,False,ASL
40660.npz,60,0.0,0.19047619047619047,0.0,1.0,1.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9166666666666666,True,ASL
40661.npz,80,0.0,0.23809523809523808,0.0125,1.0,0.9875,0.175,0.175,0.175,0.825,True,ASL
40664.npz,62,0.0,0.423963133640553,0.0,1.0,1.0,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.6451612903225806,False,ASL
66256.npz,65,0.0,0.2893772893772894,0.0,1.0,1.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.7692307692307692,True,ASL
42511.npz,69,0.014492753623188406,0.6549344375431332,0.014492753623188406,0.9855072463768116,0.9855072463768116,0.2753623188405797,0.2753623188405797,0.2753623188405797,0.7246376811594203,False,ASL
42513.npz,60,0.0,0.5238095238095238,0.0,1.0,1.0,0.0,0.0,0.0,1.0,False,ASL
42516.npz,63,0.0,0.6825396825396826,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,False,ASL
66054.npz,60,0.0,0.746031746031746,0.0,1.0,1.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5333333333333333,False,ASL
40722.npz,74,0.0,0.3436293436293436,0.0,1.0,1.0,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.7027027027027026,False,ASL
40723.npz,60,0.0,0.3888888888888889,0.016666666666666666,1.0,0.9833333333333333,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.6833333333333333,False,ASL
40726.npz,60,0.0,0.047619047619047616,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
40728.npz,64,0.0,0.40476190476190477,0.0,1.0,1.0,0.375,0.375,0.375,0.625,False,ASL
66258.npz,67,0.0,0.31769722814498935,0.0,1.0,1.0,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.7313432835820896,False,ASL
40759.npz,63,0.0,0.3801965230536659,0.0,1.0,1.0,0.31746031746031744,0.31746031746031744,0.31746031746031744,0.6825396825396826,False,ASL
40760.npz,83,0.0,0.3172690763052209,0.0,1.0,1.0,0.25301204819277107,0.25301204819277107,0.25301204819277107,0.7469879518072289,False,ASL
40761.npz,60,0.0,0.30158730158730157,0.0,1.0,1.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.7333333333333334,False,ASL
40764.npz,60,0.0,0.047619047619047616,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
